"Year,RPM_DOMESTIC,RPM_INTERNATIONAL,RPM_TOTAL,ASM_Month,ASM_DOMESTIC,ASM_INTERNATIONAL,ASM_TOTAL,LF_DOMESTIC,LF_INTERNATIONAL,LF_TOTAL,",
"Feb-08,""43,582,604"",""35,042,639"",""78,625,243"",2,""57,415,268"",""49,261,656"",""106,676,924"",75.91,71.14,73.7,",
"Mar-08,""52,195,384"",""42,832,802"",""95,028,186"",3,""63,508,629"",""53,568,767"",""117,077,397"",82.19,79.96,81.17,",
"Apr-08,""48,257,762"",""40,818,614"",""89,076,376"",4,""60,257,734"",""54,160,788"",""114,418,521"",80.09,75.37,77.85,",
"May-08,""50,473,432"",""43,937,383"",""94,410,815"",5,""62,051,961"",""56,360,212"",""118,412,173"",81.34,77.96,79.73,",
"Jun-08,""52,712,761"",""46,959,330"",""99,672,091"",6,""62,574,547"",""57,585,061"",""120,159,608"",84.24,81.55,82.95,",
"Jul-08,""54,757,833"",""49,358,622"",""104,116,456"",7,""65,106,496"",""59,464,034"",""124,570,530"",84.11,83.01,83.58,",
"Aug-08,""52,763,364"",""49,068,198"",""101,831,562"",8,""63,301,066"",""59,571,757"",""122,872,823"",83.35,82.37,82.88,",
"Sep-08,""41,113,891"",""40,202,787"",""81,316,678"",9,""54,049,099"",""53,818,889"",""107,867,988"",76.07,74.7,75.39,",
"Oct-08,""45,078,486"",""39,764,941"",""84,843,427"",10,""56,516,723"",""52,540,714"",""109,057,437"",79.76,75.68,77.8,",
"Nov-08,""40,712,277"",""35,867,148"",""76,579,425"",11,""53,649,176"",""48,474,547"",""102,123,723"",75.89,73.99,74.99,",
"Dec-08,""44,043,260"",""39,017,525"",""83,060,786"",12,""55,634,526"",""50,973,131"",""106,607,657"",79.17,76.55,77.91,",
"Jan-09,""39,468,411"",""37,606,334"",""77,074,745"",1,""54,197,192"",""51,147,747"",""105,344,938"",72.82,73.52,73.16,",
"Feb-09,""37,753,849"",""30,861,221"",""68,615,070"",2,""50,152,998"",""44,873,032"",""95,026,030"",75.28,68.77,72.21,",
"Mar-09,""46,637,575"",""37,658,969"",""84,296,544"",3,""57,518,916"",""51,035,978"",""108,554,895"",81.08,73.79,77.65,",
"Apr-09,""45,536,212"",""39,213,659"",""84,749,872"",4,""55,462,775"",""51,296,106"",""106,758,880"",82.1,76.45,79.38,",
"May-09,""46,124,290"",""39,580,101"",""85,704,391"",5,""56,716,566"",""52,415,872"",""109,132,438"",81.32,75.51,78.53,",
"Jun-09,""49,457,299"",""43,605,787"",""93,063,086"",6,""57,930,483"",""54,077,473"",""112,007,956"",85.37,80.64,83.09,",
"Jul-09,""52,824,154"",""48,376,993"",""101,201,148"",7,""60,653,506"",""57,696,457"",""118,349,963"",87.09,83.85,85.51,",
"Aug-09,""50,545,162"",""48,436,014"",""98,981,175"",8,""59,483,546"",""57,280,154"",""116,763,700"",84.97,84.56,84.77,",
"Sep-09,""41,740,289"",""40,079,656"",""81,819,945"",9,""52,555,902"",""50,217,763"",""102,773,665"",79.42,79.81,79.61,",
"Oct-09,""44,956,606"",""40,089,438"",""85,046,044"",10,""54,679,801"",""49,283,290"",""103,963,092"",82.22,81.34,81.8,",
"Nov-09,""41,711,288"",""35,532,693"",""77,243,982"",11,""52,687,438"",""45,779,414"",""98,466,852"",79.17,77.62,78.45,",
"Dec-09,""43,859,876"",""40,008,336"",""83,868,211"",12,""54,913,202"",""49,442,216"",""104,355,417"",79.87,80.92,80.37,",
"Jan-10,""40,482,623"",""39,252,875"",""79,735,498"",1,""54,057,495"",""50,300,292"",""104,357,787"",74.89,78.04,76.41,",
"Feb-10,""37,130,277"",""32,519,637"",""69,649,914"",2,""48,005,940"",""43,683,891"",""91,689,830"",77.35,74.44,75.96,",
"Mar-10,""47,794,152"",""40,651,970"",""88,446,122"",3,""57,316,299"",""50,510,736"",""107,827,035"",83.39,80.48,82.03,",
"Apr-10,""45,813,191"",""38,701,988"",""84,515,179"",4,""55,496,575"",""48,768,955"",""104,265,530"",82.55,79.36,81.06,",
"May-10,""47,140,355"",""44,079,060"",""91,219,415"",5,""57,134,829"",""53,705,460"",""110,840,289"",82.51,82.08,82.3,",
"Jun-10,""50,585,549"",""47,623,163"",""98,208,712"",6,""58,599,467"",""55,321,709"",""113,921,176"",86.32,86.08,86.21,",
"Jul-10,""53,220,274"",""51,587,699"",""104,807,973"",7,""61,240,770"",""59,615,185"",""120,855,956"",86.9,86.53,86.72,",
"Aug-10,""51,514,627"",""49,729,116"",""101,243,742"",8,""60,465,168"",""58,157,570"",""118,622,738"",85.2,85.51,85.35,",
"Sep-10,""43,763,674"",""43,638,822"",""87,402,497"",9,""54,832,975"",""52,654,455"",""107,487,430"",79.81,82.88,81.31,",
"Oct-10,""47,415,478"",""43,768,600"",""91,184,078"",10,""56,907,166"",""53,132,795"",""110,039,961"",83.32,82.38,82.86,",
"Nov-10,""44,493,823"",""38,009,738"",""82,503,562"",11,""54,798,729"",""48,673,865"",""103,472,594"",81.19,78.09,79.73,",
"Dec-10,""45,263,819"",""41,321,534"",""86,585,353"",12,""55,987,771"",""51,652,021"",""107,639,793"",80.85,80,80.44,",
"Jan-11,""41,310,633"",""40,874,121"",""82,184,754"",1,""53,964,275"",""53,139,981"",""107,104,256"",76.55,76.92,76.73,",
"Feb-11,""38,361,355"",""33,998,315"",""72,359,670"",2,""49,229,278"",""47,237,016"",""96,466,295"",77.92,71.97,75.01,",
"Mar-11,""49,086,084"",""41,675,907"",""90,761,991"",3,""59,355,718"",""54,366,335"",""113,722,053"",82.7,76.66,79.81,",
"Apr-11,""46,672,936"",""43,155,298"",""89,828,233"",4,""56,829,812"",""54,724,177"",""111,553,990"",82.13,78.86,80.52,",
"May-11,""49,113,879"",""46,549,345"",""95,663,224"",5,""58,068,155"",""56,682,718"",""114,750,873"",84.58,82.12,83.37,",
"Jun-11,""51,629,464"",""49,676,007"",""101,305,470"",6,""60,046,722"",""58,468,935"",""118,515,657"",85.98,84.96,85.48,",
"Jul-11,""54,510,543"",""54,217,514"",""108,728,057"",7,""62,555,701"",""63,003,465"",""125,559,166"",87.14,86.05,86.6,",
"Aug-11,""51,626,688"",""52,220,666"",""103,847,354"",8,""60,316,816"",""61,295,134"",""121,611,950"",85.59,85.2,85.39,",
"Sep-11,""44,627,162"",""45,925,265"",""90,552,427"",9,""54,540,275"",""56,650,127"",""111,190,401"",81.82,81.07,81.44,",
"Oct-11,""47,033,130"",""45,011,529"",""92,044,660"",10,""56,237,587"",""56,622,913"",""112,860,499"",83.63,79.49,81.56,",
"Nov-11,""44,867,338"",""39,388,235"",""84,255,573"",11,""53,748,449"",""50,711,739"",""104,460,187"",83.48,77.67,80.66,",
"Dec-11,""45,846,263"",""43,236,226"",""89,082,489"",12,""56,524,259"",""54,542,097"",""111,066,357"",81.11,79.27,80.21,",
"Jan-12,""41,835,534"",""42,512,309"",""84,347,844"",1,""53,624,111"",""54,667,296"",""108,291,408"",78.02,77.77,77.89,",
"Feb-12,""40,535,739"",""36,391,992"",""76,927,730"",2,""51,379,197"",""50,175,117"",""101,554,314"",78.9,72.53,75.75,",
"Mar-12,""49,825,523"",""44,789,254"",""94,614,776"",3,""59,011,037"",""56,109,307"",""115,120,344"",84.43,79.82,82.19,",
"Apr-12,""47,379,882"",""44,855,708"",""92,235,590"",4,""56,667,209"",""55,656,179"",""112,323,388"",83.61,80.59,82.12,",
"May-12,""49,222,436"",""48,102,320"",""97,324,757"",5,""58,284,826"",""58,463,132"",""116,747,958"",84.45,82.28,83.36,",
"Jun-12,""52,109,328"",""52,196,041"",""104,305,370"",6,""60,158,305"",""60,056,143"",""120,214,447"",86.62,86.91,86.77,",
"Jul-12,""54,301,048"",""55,244,104"",""109,545,152"",7,""62,535,999"",""63,991,896"",""126,527,895"",86.83,86.33,86.58,",
"Aug-12,""52,906,366"",""54,675,747"",""107,582,113"",8,""61,083,629"",""63,358,761"",""124,442,390"",86.61,86.3,86.45,",
"Sep-12,""43,898,585"",""47,804,106"",""91,702,690"",9,""54,440,807"",""57,421,391"",""111,862,198"",80.64,83.25,81.98,",
"Oct-12,""46,728,054"",""45,389,387"",""92,117,441"",10,""55,476,005"",""55,846,074"",""111,322,080"",84.23,81.28,82.75,",
"Nov-12,""45,226,179"",""41,269,247"",""86,495,426"",11,""54,637,294"",""51,955,085"",""106,592,379"",82.78,79.43,81.15,",
"Dec-12,""45,962,175"",""44,815,891"",""90,778,066"",12,""56,368,346"",""55,438,850"",""111,807,196"",81.54,80.84,81.19,",
"Jan-13,""42,823,414"",""44,232,012"",""87,055,425"",1,""54,281,337"",""55,868,436"",""110,149,774"",78.89,79.17,79.03,",
"Feb-13,""40,457,444"",""37,521,083"",""77,978,527"",2,""50,087,400"",""49,795,487"",""99,882,887"",80.77,75.35,78.07,",
"Mar-13,""50,712,955"",""47,104,158"",""97,817,113"",3,""59,671,513"",""57,397,402"",""117,068,914"",84.99,82.07,83.56,",
"Apr-13,""47,392,152"",""45,942,530"",""93,334,683"",4,""57,228,360"",""58,283,652"",""115,512,012"",82.81,78.83,80.8,",
"May-13,""50,187,092"",""51,263,279"",""101,450,371"",5,""59,155,936"",""61,924,735"",""121,080,671"",84.84,82.78,83.79,",
"Jun-13,""52,880,779"",""55,033,481"",""107,914,261"",6,""60,793,952"",""63,469,319"",""124,263,270"",86.98,86.71,86.84,",
"Jul-13,""54,798,319"",""57,995,952"",""112,794,271"",7,""63,380,233"",""67,223,148"",""130,603,381"",86.46,86.27,86.36,",
"Aug-13,""53,163,380"",""58,499,731"",""111,663,111"",8,""62,154,212"",""67,009,897"",""129,164,109"",85.53,87.3,86.45,",
"Sep-13,""44,695,497"",""50,231,606"",""94,927,103"",9,""55,281,554"",""60,723,498"",""116,005,052"",80.85,82.72,81.83,",
"Oct-13,""47,898,386"",""48,937,546"",""96,835,932"",10,""57,909,276"",""60,680,770"",""118,590,046"",82.71,80.65,81.66,",
"Nov-13,""44,457,875"",""43,144,707"",""87,602,581"",11,""55,523,899"",""55,483,613"",""111,007,511"",80.07,77.76,78.92,",
